company_id,company_name,founded_year,hq_country,hq_city,public_or_private,stock_ticker,category_primary,category_secondary,revenue_2025_usd_billions,profit_loss_2025_usd_billions,lead_investor_region,data_confidence,sources,ceo_name,ceo_wikipedia_url,founder_names,founder_wikipedia_urls,gov_contracts,gov_contract_notes,regulatory_actions,notes
openai,OpenAI,2015,US,San Francisco,private,,foundation_model,research_lab,3.7,,US,high,https://en.wikipedia.org/wiki/OpenAI|https://www.tldl.io/resources/ai-companies-landscape-2026,Sam Altman,https://en.wikipedia.org/wiki/Sam_Altman,"Sam Altman, Greg Brockman, Ilya Sutskever, Elon Musk",https://en.wikipedia.org/wiki/Sam_Altman|https://en.wikipedia.org/wiki/Greg_Brockman|https://en.wikipedia.org/wiki/Ilya_Sutskever|https://en.wikipedia.org/wiki/Elon_Musk,US,US government API contracts across multiple agencies. CEO Sam Altman testified before Congress 2023. Involved in White House AI safety commitments.,"Italy GDPR ban (Mar 2023, reversed). FTC investigation into data practices (2023). NY Times copyright lawsuit (2023, ongoing). EU AI Act compliance scrutiny.",Restructuring to for-profit. Revenue ~$3.7B in 2024; targeting $20B+ ARR in 2025. Burning ~$17B/yr. IPO possible H2 2026.
anthropic,Anthropic,2021,US,San Francisco,private,,foundation_model,research_lab,14.0,,US,high,https://en.wikipedia.org/wiki/Anthropic|https://www.tldl.io/resources/ai-companies-landscape-2026,Dario Amodei,https://en.wikipedia.org/wiki/Dario_Amodei,"Dario Amodei, Daniela Amodei",https://en.wikipedia.org/wiki/Dario_Amodei|https://en.wikipedia.org/wiki/Daniela_Amodei,US,US government contracts via Amazon/AWS GovCloud. Participated in White House AI safety commitments 2023.,"Accused Chinese AI firms (MiniMax, DeepSeek, Moonshot) of industrial-scale model distillation via fraudulent accounts (Feb 2026).","$14B annualized revenue run-rate as of early 2026. Preparing for potential IPO (hired Wilson Sonsini). Major investors: Amazon, Google."
xai,xAI,2023,US,Memphis,private,,foundation_model,,,,US,medium,https://en.wikipedia.org/wiki/XAI_(company)|https://wellows.com/blog/ai-startups/,Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk,Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk,,No known government contracts. Grok integrated into X/Twitter platform which has EU DSA regulatory obligations.,Grok chatbot faced criticism for generating political misinformation and removing safety guardrails (2024). X/Twitter platform regulatory issues in EU under Digital Services Act.,Raised $20B from Nvidia/Cisco/Fidelity in Jan 2026. Integrated with X/Twitter. Grok models.
google_deepmind,Google DeepMind,2010,GB,London,public,GOOGL,research_lab,foundation_model,,,US,high,https://en.wikipedia.org/wiki/Google_DeepMind,Demis Hassabis,https://en.wikipedia.org/wiki/Demis_Hassabis,"Demis Hassabis, Shane Legg, Mustafa Suleyman",https://en.wikipedia.org/wiki/Demis_Hassabis|https://en.wikipedia.org/wiki/Shane_Legg|https://en.wikipedia.org/wiki/Mustafa_Suleyman,US|GB|EU,Google has broad US government cloud and AI contracts (including DoD). DeepMind has UK NHS data partnership (controversial). Subject to EU regulatory oversight.,"EU €2.4B antitrust fine (2017, search). Multiple ongoing EU antitrust probes into Google AI/search bundling. US DOJ antitrust case (2024, search monopoly).","Subsidiary of Alphabet. Valuation folded into GOOGL (~$2T market cap). AlphaFold, Gemini models. Acquired DeepMind (UK) in 2014."
meta_ai,Meta AI,2013,US,Menlo Park,public,META,foundation_model,research_lab,,,US,high,https://en.wikipedia.org/wiki/Meta_AI,Mark Zuckerberg,https://en.wikipedia.org/wiki/Mark_Zuckerberg,Mark Zuckerberg,https://en.wikipedia.org/wiki/Mark_Zuckerberg,US,Meta has US government advertising and some research contracts. Open-source Llama models used by governments globally including some with poor human rights records — Meta has limited control over downstream use.,EU €1.2B GDPR fine (2023). FTC ongoing privacy investigation. US Congress hearings on youth mental health (2024). EU Digital Markets Act compliance orders.,AI division of Meta Platforms (~$1.4T market cap). Open-source Llama model family. FAIR research lab.
nvidia,Nvidia,1993,US,Santa Clara,public,NVDA,hardware,infrastructure,60.9,19.4,US,high,https://en.wikipedia.org/wiki/Nvidia,Jensen Huang,https://en.wikipedia.org/wiki/Jensen_Huang,Jensen Huang,https://en.wikipedia.org/wiki/Jensen_Huang,US|IL,US DoD and intelligence community GPU supplier. Chips used by Israeli military (reported). US export controls restrict sales to China — Nvidia created A800/H800 chips to circumvent earlier restrictions.,"US export controls on H100/A100 chips to China (Oct 2022, expanded 2023). FTC merger block of Arm acquisition (2022). EU antitrust investigation into GPU market dominance (2024).","Dominant AI chip supplier. ~$2.7T market cap (fluctuates). Revenue $60.9B FY2024, net income $19.4B. GPU supply is the chokepoint of the AI industry."
microsoft,Microsoft,1975,US,Redmond,public,MSFT,infrastructure,application,245.1,88.1,US,high,https://en.wikipedia.org/wiki/Microsoft,Satya Nadella,https://en.wikipedia.org/wiki/Satya_Nadella,Bill Gates,https://en.wikipedia.org/wiki/Bill_Gates,US|GB|EU|IL,"Major US DoD cloud contract (JEDI/JWCC, $10B+). Azure used by UK government. Reported Azure and AI services to Israeli military during Gaza conflict (2023–present), which prompted employee protests.",EU €242M Teams antitrust fine (2024). FTC scrutiny of OpenAI investment. Employee protests over Israeli military contracts (2024). EU Digital Markets Act obligations.,~$3T market cap. Major investor in OpenAI. Azure AI infrastructure. Copilot across Office suite.
scale_ai,Scale AI,2016,US,San Francisco,private,,tooling,infrastructure,,,US,high,https://en.wikipedia.org/wiki/Scale_AI,Alexandr Wang,https://en.wikipedia.org/wiki/Alexandr_Wang,Alexandr Wang,https://en.wikipedia.org/wiki/Alexandr_Wang,US,Significant US DoD and intelligence community data labeling contracts. CEO Alexandr Wang testified before Congress on AI and national security (2024). Positioned as key US defense AI supplier.,"Worker classification lawsuits (data labelers as contractors vs employees, 2023–2024).",Data labeling and AI evaluation platform. Major US government/defense contracts. Valued at $13B in 2024.
databricks,Databricks,2013,US,San Francisco,private,,infrastructure,,1.6,,US,high,https://en.wikipedia.org/wiki/Databricks,Ali Ghodsi,https://en.wikipedia.org/wiki/Ali_Ghodsi,"Ali Ghodsi, Matei Zaharia",https://en.wikipedia.org/wiki/Ali_Ghodsi,US,US federal government data platform contracts via AWS/Azure marketplace. No significant defense exposure known.,No major regulatory actions known.,"Data+AI platform. $62B valuation (Series K, 2024). Revenue ~$1.6B. Acquired MosaicML. IPO widely anticipated."
cohere,Cohere,2019,CA,Toronto,private,,foundation_model,application,0.24,,US,medium,https://en.wikipedia.org/wiki/Cohere_(company),Aidan Gomez,https://en.wikipedia.org/wiki/Aidan_Gomez,"Aidan Gomez, Ivan Zhang, Nick Frosst",https://en.wikipedia.org/wiki/Aidan_Gomez,CA|US,"Canadian government AI contracts. Designated Canadian ""national champion"" by federal ministers. US enterprise contracts. No known defense/intelligence contracts.",No major regulatory actions known.,Enterprise-focused LLMs. $240M ARR by end-2025. 2026 IPO anticipated. Co-founder Aidan Gomez co-authored original Transformer paper.
